素媛,李濬益 Jun-ik Lee,剧情,韩国,2013,9.3,679821人评价,https://movie.douban.com/subject/21937452/
哈尔的移动城堡,宫崎骏 Hayao Miyazaki,动画/奇幻/冒险,日本,2004,9.1,1013043人评价,https://movie.douban.com/subject/1308807/
十二怒汉,Sidney Lumet,剧情,美国,1957,9.4,484202人评价,https://movie.douban.com/subject/1293182/
何以为家,娜丁·拉巴基 Nadine Labaki,剧情,黎巴嫩/美国/法国/塞浦路斯/卡塔尔/英国,2018,9.1,1034359人评价,https://movie.douban.com/subject/30170448/
摔跤吧！爸爸,涅提·蒂瓦里 Nitesh Tiwari,剧情/传记/运动/家庭,印度,2016,9.0,1555156人评价,https://movie.douban.com/subject/26387939/
让子弹飞,姜文 Wen Jiang,剧情/喜剧/动作/西部,中国大陆/中国香港,2010,9.0,1681899人评价,https://movie.douban.com/subject/3742360/
鬼子来了,姜文 Wen Jiang,剧情/喜剧,中国大陆,2000,9.3,620633人评价,https://movie.douban.com/subject/1291858/
猫鼠游戏,史蒂文·斯皮尔伯格 Steven Spielberg,传记/犯罪/剧情,美国/加拿大,2002,9.1,1010346人评价,https://movie.douban.com/subject/1305487/
少年派的奇幻漂流,李安 Ang Lee,剧情/奇幻/冒险,美国/中国台湾/英国/加拿大,2012,9.1,1337711人评价,https://movie.douban.com/subject/1929463/
天空之城,宫崎骏 Hayao Miyazaki,动画/奇幻/冒险,日本,1986,9.2,854752人评价,https://movie.douban.com/subject/1291583/
海蒂和爷爷,阿兰·葛斯彭纳 Alain Gsponer,剧情/冒险/家庭,德国/瑞士,2015,9.3,600987人评价,https://movie.douban.com/subject/25958717/
钢琴家,罗曼·波兰斯基 Roman Polanski,剧情/传记/战争/音乐,英国/法国/波兰/德国,2002,9.3,630179人评价,https://movie.douban.com/subject/1296736/
大话西游之月光宝盒,刘镇伟 Jeffrey Lau,喜剧/爱情/奇幻/古装,中国香港/中国大陆,1995,9.0,1210281人评价,https://movie.douban.com/subject/1299398/
指环王2：双塔奇兵,彼得·杰克逊 Peter Jackson,剧情/动作/奇幻/冒险,美国/新西兰,2002,9.2,744602人评价,https://movie.douban.com/subject/1291572/
闻香识女人,马丁·布莱斯 Martin Brest,剧情,美国,1992,9.1,874779人评价,https://movie.douban.com/subject/1298624/
罗马假日,威廉·惠勒 William Wyler,喜剧/剧情/爱情,美国,1953,9.1,942278人评价,https://movie.douban.com/subject/1293839/
天堂电影院,朱塞佩·托纳多雷 Giuseppe Tornatore,剧情/爱情,意大利/法国,1988,9.2,674119人评价,https://movie.douban.com/subject/1291828/
死亡诗社,彼得·威尔 Peter Weir,剧情,美国,1989,9.2,716322人评价,https://movie.douban.com/subject/1291548/
绿皮书,彼得·法雷里 Peter Farrelly,剧情/喜剧/传记/音乐,美国/中国大陆,2018,8.9,1630052人评价,https://movie.douban.com/subject/27060077/
大闹天宫,万籁鸣 Laiming Wan,1978(中国大陆),1964(中国大陆),1961(中国大陆),9.4,432043人评价,https://movie.douban.com/subject/1418019/
指环王1：护戒使者,彼得·杰克逊 Peter Jackson,剧情/动作/奇幻/冒险,新西兰/美国,2001,9.1,837663人评价,https://movie.douban.com/subject/1291571/
黑客帝国,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,动作/科幻,美国,1999,9.1,829930人评价,https://movie.douban.com/subject/1291843/
教父2,弗朗西斯·福特·科波拉 Francis Ford Coppola,剧情/犯罪,美国,1974,9.3,546099人评价,https://movie.douban.com/subject/1299131/
狮子王,Roger Allers / 罗伯·明可夫 Rob Minkoff,动画/冒险/歌舞,美国,1994,9.1,830104人评价,https://movie.douban.com/subject/1301753/
辩护人,杨宇硕 Woo-seok Yang,剧情,韩国,2013,9.2,584198人评价,https://movie.douban.com/subject/21937445/
饮食男女,李安 Ang Lee,剧情/家庭,中国台湾/美国,1994,9.2,614382人评价,https://movie.douban.com/subject/1291818/
搏击俱乐部,大卫·芬奇 David Fincher,剧情/动作/悬疑/惊悚,美国,1999,9.0,838132人评价,https://movie.douban.com/subject/1292000/
美丽心灵,朗·霍华德 Ron Howard,传记/剧情,美国,2001,9.1,762180人评价,https://movie.douban.com/subject/1306029/
本杰明·巴顿奇事,大卫·芬奇 David Fincher,剧情/爱情/奇幻,美国,2008,9.0,972623人评价,https://movie.douban.com/subject/1485260/
穿条纹睡衣的男孩,马克·赫尔曼 Mark Herman,剧情/战争,英国/美国,2008,9.2,557717人评价,https://movie.douban.com/subject/3008247/
窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,剧情/悬疑,德国,2006,9.2,559305人评价,https://movie.douban.com/subject/1900841/
情书,岩井俊二 Shunji Iwai,剧情/爱情,日本,1995,8.9,1100608人评价,https://movie.douban.com/subject/1292220/
两杆大烟枪,盖·里奇 Guy Ritchie,剧情/喜剧/犯罪,英国,1998,9.1,589917人评价,https://movie.douban.com/subject/1293350/
西西里的美丽传说,朱塞佩·托纳多雷 Giuseppe Tornatore,剧情/战争/情色,意大利/美国,2000,8.9,966567人评价,https://movie.douban.com/subject/1292402/
音乐之声,罗伯特·怀斯 Robert Wise,剧情/传记/爱情/歌舞,美国,1965,9.1,595361人评价,https://movie.douban.com/subject/1294408/
看不见的客人,奥里奥尔·保罗 Oriol Paulo,剧情/犯罪/悬疑/惊悚,西班牙,2016,8.8,1243586人评价,https://movie.douban.com/subject/26580232/
阿凡达,詹姆斯·卡梅隆 James Cameron,动作/科幻/冒险,美国,2009,8.8,1408220人评价,https://movie.douban.com/subject/1652587/
拯救大兵瑞恩,史蒂文·斯皮尔伯格 Steven Spielberg,剧情/战争,美国,1998,9.1,640560人评价,https://movie.douban.com/subject/1292849/
小鞋子,马基德·马基迪 Majid Majidi,剧情/儿童/家庭,伊朗,1997,9.2,407197人评价,https://movie.douban.com/subject/1303021/
飞越疯人院,米洛斯·福尔曼 Miloš Forman,剧情,美国,1975,9.1,541427人评价,https://movie.douban.com/subject/1292224/
哈利·波特与死亡圣器(下),大卫·叶茨 David Yates,奇幻/冒险,美国/英国,2011,9.0,820777人评价,https://movie.douban.com/subject/3011235/
沉默的羔羊,乔纳森·戴米 Jonathan Demme,剧情/犯罪/惊悚,美国,1991,8.9,879024人评价,https://movie.douban.com/subject/1293544/
布达佩斯大饭店,韦斯·安德森 Wes Anderson,剧情/喜剧/冒险,美国/德国/英国,2014,8.9,920401人评价,https://movie.douban.com/subject/11525673/
禁闭岛,Martin Scorsese,剧情/悬疑/惊悚,美国,2010,8.9,963785人评价,https://movie.douban.com/subject/2334904/
蝴蝶效应,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,剧情/悬疑/科幻/惊悚,美国/加拿大,2004,8.9,926893人评价,https://movie.douban.com/subject/1292343/
致命魔术,克里斯托弗·诺兰 Christopher Nolan,剧情/悬疑/惊悚,英国/美国,2006,8.9,847286人评价,https://movie.douban.com/subject/1780330/
功夫,周星驰 Stephen Chow,动作/喜剧/犯罪/奇幻,中国大陆/中国香港,2004,8.8,1114723人评价,https://movie.douban.com/subject/1291543/
心灵捕手,格斯·范·桑特 Gus Van Sant,剧情,美国,1997,8.9,704958人评价,https://movie.douban.com/subject/1292656/
海豚湾,路易·西霍尤斯 Louie Psihoyos,纪录片,美国,2009,9.3,354750人评价,https://movie.douban.com/subject/3442220/
哈利·波特与阿兹卡班的囚徒,Alfonso Cuarón,奇幻/冒险,英国/美国,2004,8.9,717539人评价,https://movie.douban.com/subject/1291544/
低俗小说,昆汀·塔伦蒂诺 Quentin Tarantino,剧情/喜剧/犯罪,美国,1994,8.9,825762人评价,https://movie.douban.com/subject/1291832/
春光乍泄,王家卫 Kar Wai Wong,剧情/爱情/同性,中国香港/日本/韩国,1997,9.0,626601人评价,https://movie.douban.com/subject/1292679/
美国往事,赛尔乔·莱翁内 Sergio Leone,犯罪/剧情,美国/意大利,1984,9.2,407613人评价,https://movie.douban.com/subject/1292262/
超脱,托尼·凯耶 Tony Kaye,剧情,美国,2011,9.0,590163人评价,https://movie.douban.com/subject/5322596/
摩登时代,查理·卓别林 Charles Chaplin,剧情/喜剧/爱情,美国,1936,9.3,297346人评价,https://movie.douban.com/subject/1294371/
喜剧之王,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,喜剧/剧情/爱情,中国香港,1999,8.8,959986人评价,https://movie.douban.com/subject/1302425/
致命ID,詹姆斯·曼高德 James Mangold,剧情/悬疑/惊悚,美国,2003,8.9,814462人评价,https://movie.douban.com/subject/1297192/
杀人回忆,奉俊昊 Joon-ho Bong,剧情/动作/犯罪/悬疑/惊悚,韩国,2003,8.9,704852人评价,https://movie.douban.com/subject/1300299/
七宗罪,大卫·芬奇 David Fincher,剧情/犯罪/悬疑/惊悚,美国,1995,8.8,933959人评价,https://movie.douban.com/subject/1292223/
红辣椒,今敏 Satoshi Kon,动画/悬疑/科幻/惊悚,日本,2006,9.1,457459人评价,https://movie.douban.com/subject/1865703/
